Geography,Count,Period
BI.BR,-0.264138888888886,1900s
BI.BR,-0.530999999999998,1910s
BI.BR,-0.233666666666668,1920s
BI.BR,-0.349333333333333,1930s
BI.BR,-0.223916666666667,1940s
BI.BR,-0.0273333333333347,1950s
BI.BR,-0.120583333333332,1960s
BI.BR,0.0120000000000004,1970s
BI.BR,0.176416666666664,1980s
BI.BR,0.4935,1990s
BI.BR,0.516833333333334,2000s
BI.BR,0.490666666666665,2010s
