Year,Geography,Count
1901,BI,20.13
1902,BI,20.29
1903,BI,20.13
1904,BI,19.9
1905,BI,19.79
1906,BI,19.42
1907,BI,19.4
1908,BI,19.97
1909,BI,19.23
1910,BI,19.22
1911,BI,19.31
1912,BI,19.29
1913,BI,19.21
1914,BI,19.43
1915,BI,19.38
1916,BI,19.15
1917,BI,18.89
1918,BI,19.11
1919,BI,19.23
1920,BI,19.22
1921,BI,19.91
1922,BI,19.85
1923,BI,19.82
1924,BI,19.99
1925,BI,19.92
1926,BI,20.1
1927,BI,20.0
1928,BI,20.11
1929,BI,19.01
1930,BI,19.16
1931,BI,19.66
1932,BI,19.41
1933,BI,19.36
1934,BI,19.4
1935,BI,19.61
1936,BI,19.49
1937,BI,19.44
1938,BI,19.65
1939,BI,19.67
1940,BI,19.87
1941,BI,20.05
1942,BI,19.62
1943,BI,19.71
1944,BI,19.78
1945,BI,19.73
1946,BI,19.75
1947,BI,19.59
1948,BI,19.8
1949,BI,20.14
1950,BI,19.4
1951,BI,19.83
1952,BI,20.02
1953,BI,20.13
1954,BI,19.97
1955,BI,19.91
1956,BI,19.8
1957,BI,20.08
1958,BI,20.28
1959,BI,20.06
1960,BI,19.86
1961,BI,20.01
1962,BI,19.79
1963,BI,19.75
1964,BI,19.78
1965,BI,19.82
1966,BI,20.08
1967,BI,19.87
1968,BI,19.58
1969,BI,20.22
1970,BI,19.92
1971,BI,19.69
1972,BI,19.97
1973,BI,20.07
1974,BI,19.81
1975,BI,19.8
1976,BI,20.04
1977,BI,20.15
1978,BI,20.07
1979,BI,19.95
1980,BI,20.08
1981,BI,20.07
1982,BI,20.13
1983,BI,20.39
1984,BI,20.03
1985,BI,19.95
1986,BI,20.0
1987,BI,20.53
1988,BI,20.3
1989,BI,19.9
1990,BI,20.24
1991,BI,20.24
1992,BI,20.23
1993,BI,20.14
1994,BI,20.3
1995,BI,20.59
1996,BI,20.32
1997,BI,20.56
1998,BI,20.51
1999,BI,20.48
2000,BI,20.6
2001,BI,20.59
2002,BI,20.86
2003,BI,20.96
2004,BI,20.51
2005,BI,20.71
2006,BI,20.47
2007,BI,20.49
2008,BI,20.31
2009,BI,20.76
2010,BI,20.85
2011,BI,20.35
2012,BI,20.37
2013,BI,20.57
2014,BI,20.36
2015,BI,20.45
2016,BI,20.68
2017,BI,20.9
2018,BI,20.4
2019,BI,20.63
2020,BI,20.44
2021,BI,20.53
2022,BI,20.43
