Year,Geography,Count
1901,BJ,27.38
1902,BJ,27.46
1903,BJ,27.57
1904,BJ,27.57
1905,BJ,27.14
1906,BJ,27.86
1907,BJ,27.44
1908,BJ,27.5
1909,BJ,27.28
1910,BJ,27.68
1911,BJ,27.28
1912,BJ,27.67
1913,BJ,27.98
1914,BJ,28.25
1915,BJ,27.35
1916,BJ,27.18
1917,BJ,27.25
1918,BJ,27.2
1919,BJ,27.57
1920,BJ,27.62
1921,BJ,27.57
1922,BJ,27.42
1923,BJ,27.41
1924,BJ,27.57
1925,BJ,26.96
1926,BJ,27.58
1927,BJ,27.01
1928,BJ,26.99
1929,BJ,26.76
1930,BJ,27.76
1931,BJ,28.08
1932,BJ,27.88
1933,BJ,27.79
1934,BJ,28.11
1935,BJ,28.25
1936,BJ,27.55
1937,BJ,28.65
1938,BJ,28.95
1939,BJ,28.28
1940,BJ,27.65
1941,BJ,28.33
1942,BJ,28.08
1943,BJ,27.58
1944,BJ,27.87
1945,BJ,27.42
1946,BJ,27.4
1947,BJ,27.84
1948,BJ,27.23
1949,BJ,27.95
1950,BJ,27.06
1951,BJ,27.83
1952,BJ,27.62
1953,BJ,27.43
1954,BJ,27.21
1955,BJ,27.12
1956,BJ,27.22
1957,BJ,27.31
1958,BJ,27.6
1959,BJ,27.55
1960,BJ,27.44
1961,BJ,27.18
1962,BJ,27.23
1963,BJ,27.53
1964,BJ,27.29
1965,BJ,27.35
1966,BJ,27.57
1967,BJ,27.27
1968,BJ,27.5
1969,BJ,27.84
1970,BJ,27.7
1971,BJ,26.9
1972,BJ,27.21
1973,BJ,27.63
1974,BJ,26.89
1975,BJ,26.74
1976,BJ,26.78
1977,BJ,27.33
1978,BJ,27.09
1979,BJ,27.37
1980,BJ,27.44
1981,BJ,27.97
1982,BJ,27.83
1983,BJ,28.21
1984,BJ,28.07
1985,BJ,28.01
1986,BJ,27.83
1987,BJ,28.07
1988,BJ,27.54
1989,BJ,27.18
1990,BJ,27.76
1991,BJ,27.48
1992,BJ,27.34
1993,BJ,27.52
1994,BJ,27.4
1995,BJ,27.66
1996,BJ,27.74
1997,BJ,27.7
1998,BJ,28.17
1999,BJ,27.68
2000,BJ,27.84
2001,BJ,28.01
2002,BJ,28.06
2003,BJ,28.15
2004,BJ,28.0
2005,BJ,28.32
2006,BJ,28.19
2007,BJ,28.17
2008,BJ,27.85
2009,BJ,28.31
2010,BJ,28.46
2011,BJ,28.19
2012,BJ,28.01
2013,BJ,28.16
2014,BJ,28.33
2015,BJ,28.27
2016,BJ,28.53
2017,BJ,28.35
2018,BJ,28.33
2019,BJ,28.17
2020,BJ,28.43
2021,BJ,28.7
2022,BJ,28.09
