Year,Geography,Count
1901,TG,26.76
1902,TG,26.82
1903,TG,26.92
1904,TG,26.92
1905,TG,26.54
1906,TG,27.18
1907,TG,26.81
1908,TG,26.87
1909,TG,26.67
1910,TG,27.02
1911,TG,26.67
1912,TG,27.02
1913,TG,27.28
1914,TG,27.52
1915,TG,26.72
1916,TG,26.59
1917,TG,26.65
1918,TG,26.6
1919,TG,26.92
1920,TG,26.97
1921,TG,26.91
1922,TG,26.78
1923,TG,26.66
1924,TG,26.9
1925,TG,26.34
1926,TG,26.88
1927,TG,26.13
1928,TG,26.19
1929,TG,26.02
1930,TG,26.87
1931,TG,27.23
1932,TG,27.17
1933,TG,27.08
1934,TG,27.35
1935,TG,27.49
1936,TG,26.83
1937,TG,27.97
1938,TG,28.17
1939,TG,27.53
1940,TG,27.0
1941,TG,27.54
1942,TG,27.29
1943,TG,26.87
1944,TG,27.23
1945,TG,26.86
1946,TG,26.76
1947,TG,27.15
1948,TG,26.63
1949,TG,27.26
1950,TG,26.55
1951,TG,27.22
1952,TG,26.98
1953,TG,26.79
1954,TG,26.5
1955,TG,26.46
1956,TG,26.52
1957,TG,26.66
1958,TG,26.89
1959,TG,26.84
1960,TG,26.73
1961,TG,26.6
1962,TG,26.56
1963,TG,26.88
1964,TG,26.6
1965,TG,26.72
1966,TG,26.95
1967,TG,26.61
1968,TG,26.84
1969,TG,27.14
1970,TG,26.96
1971,TG,26.15
1972,TG,26.48
1973,TG,26.91
1974,TG,26.19
1975,TG,26.04
1976,TG,26.08
1977,TG,26.76
1978,TG,26.44
1979,TG,26.74
1980,TG,26.72
1981,TG,27.35
1982,TG,27.18
1983,TG,27.59
1984,TG,27.43
1985,TG,27.33
1986,TG,27.15
1987,TG,27.36
1988,TG,26.83
1989,TG,26.51
1990,TG,27.0
1991,TG,26.76
1992,TG,26.67
1993,TG,26.79
1994,TG,26.71
1995,TG,26.95
1996,TG,26.99
1997,TG,26.95
1998,TG,27.49
1999,TG,26.94
2000,TG,27.19
2001,TG,27.35
2002,TG,27.38
2003,TG,27.45
2004,TG,27.28
2005,TG,27.6
2006,TG,27.5
2007,TG,27.45
2008,TG,27.17
2009,TG,27.5
2010,TG,27.78
2011,TG,27.46
2012,TG,27.27
2013,TG,27.42
2014,TG,27.6
2015,TG,27.66
2016,TG,27.88
2017,TG,27.7
2018,TG,27.66
2019,TG,27.54
2020,TG,27.81
2021,TG,28.04
2022,TG,27.47
