Year,Geography,Count
1901,CI,26.52
1902,CI,26.5
1903,CI,26.45
1904,CI,26.39
1905,CI,26.4
1906,CI,26.43
1907,CI,26.34
1908,CI,26.43
1909,CI,26.4
1910,CI,26.5
1911,CI,26.34
1912,CI,26.58
1913,CI,26.45
1914,CI,26.49
1915,CI,26.47
1916,CI,26.34
1917,CI,26.32
1918,CI,26.21
1919,CI,26.32
1920,CI,26.4
1921,CI,26.35
1922,CI,26.34
1923,CI,26.26
1924,CI,26.29
1925,CI,26.04
1926,CI,26.3
1927,CI,25.63
1928,CI,25.66
1929,CI,25.65
1930,CI,25.9
1931,CI,26.45
1932,CI,26.31
1933,CI,26.34
1934,CI,26.48
1935,CI,26.35
1936,CI,26.29
1937,CI,26.88
1938,CI,26.97
1939,CI,26.72
1940,CI,26.47
1941,CI,26.82
1942,CI,26.52
1943,CI,26.18
1944,CI,26.67
1945,CI,26.54
1946,CI,26.28
1947,CI,26.53
1948,CI,26.17
1949,CI,26.53
1950,CI,26.18
1951,CI,26.56
1952,CI,26.54
1953,CI,26.57
1954,CI,26.29
1955,CI,26.22
1956,CI,26.22
1957,CI,26.49
1958,CI,26.58
1959,CI,26.49
1960,CI,26.41
1961,CI,26.35
1962,CI,26.33
1963,CI,26.61
1964,CI,26.16
1965,CI,26.12
1966,CI,26.53
1967,CI,26.15
1968,CI,26.43
1969,CI,26.76
1970,CI,26.66
1971,CI,25.87
1972,CI,26.11
1973,CI,26.59
1974,CI,25.99
1975,CI,25.88
1976,CI,25.67
1977,CI,26.27
1978,CI,26.05
1979,CI,26.37
1980,CI,26.37
1981,CI,26.45
1982,CI,26.07
1983,CI,26.67
1984,CI,26.54
1985,CI,26.32
1986,CI,26.19
1987,CI,27.07
1988,CI,26.58
1989,CI,26.39
1990,CI,26.54
1991,CI,26.48
1992,CI,26.33
1993,CI,26.45
1994,CI,26.41
1995,CI,26.65
1996,CI,26.64
1997,CI,26.66
1998,CI,27.21
1999,CI,26.56
2000,CI,26.58
2001,CI,26.64
2002,CI,26.89
2003,CI,26.84
2004,CI,26.87
2005,CI,27.02
2006,CI,26.79
2007,CI,26.92
2008,CI,26.5
2009,CI,26.88
2010,CI,27.17
2011,CI,26.84
2012,CI,26.57
2013,CI,26.8
2014,CI,26.85
2015,CI,27.03
2016,CI,27.31
2017,CI,27.17
2018,CI,27.02
2019,CI,26.83
2020,CI,27.18
2021,CI,27.37
2022,CI,26.84
