Year,Geography,Count
1901,GH,27.04
1902,GH,27.1
1903,GH,27.21
1904,GH,27.22
1905,GH,26.94
1906,GH,27.34
1907,GH,27.1
1908,GH,27.16
1909,GH,27.04
1910,GH,27.24
1911,GH,26.97
1912,GH,27.26
1913,GH,27.4
1914,GH,27.57
1915,GH,26.98
1916,GH,26.82
1917,GH,26.89
1918,GH,26.84
1919,GH,27.21
1920,GH,27.27
1921,GH,27.21
1922,GH,27.06
1923,GH,26.89
1924,GH,27.16
1925,GH,26.69
1926,GH,27.13
1927,GH,26.36
1928,GH,26.44
1929,GH,26.33
1930,GH,26.97
1931,GH,27.46
1932,GH,27.38
1933,GH,27.35
1934,GH,27.53
1935,GH,27.58
1936,GH,27.12
1937,GH,28.25
1938,GH,28.42
1939,GH,27.82
1940,GH,27.31
1941,GH,27.78
1942,GH,27.5
1943,GH,27.11
1944,GH,27.54
1945,GH,27.24
1946,GH,27.06
1947,GH,27.43
1948,GH,26.96
1949,GH,27.51
1950,GH,26.9
1951,GH,27.45
1952,GH,27.28
1953,GH,27.17
1954,GH,26.88
1955,GH,26.8
1956,GH,26.84
1957,GH,27.03
1958,GH,27.24
1959,GH,27.22
1960,GH,27.08
1961,GH,26.98
1962,GH,26.96
1963,GH,27.27
1964,GH,26.87
1965,GH,26.99
1966,GH,27.32
1967,GH,26.96
1968,GH,27.21
1969,GH,27.51
1970,GH,27.37
1971,GH,26.59
1972,GH,26.88
1973,GH,27.35
1974,GH,26.66
1975,GH,26.53
1976,GH,26.48
1977,GH,27.15
1978,GH,26.87
1979,GH,27.17
1980,GH,27.06
1981,GH,27.48
1982,GH,27.25
1983,GH,27.76
1984,GH,27.64
1985,GH,27.48
1986,GH,27.34
1987,GH,27.79
1988,GH,27.3
1989,GH,26.99
1990,GH,27.37
1991,GH,27.21
1992,GH,27.06
1993,GH,27.24
1994,GH,27.2
1995,GH,27.44
1996,GH,27.39
1997,GH,27.4
1998,GH,27.96
1999,GH,27.34
2000,GH,27.5
2001,GH,27.58
2002,GH,27.67
2003,GH,27.71
2004,GH,27.6
2005,GH,27.88
2006,GH,27.74
2007,GH,27.74
2008,GH,27.44
2009,GH,27.76
2010,GH,28.07
2011,GH,27.77
2012,GH,27.53
2013,GH,27.7
2014,GH,27.83
2015,GH,27.95
2016,GH,28.21
2017,GH,28.04
2018,GH,27.95
2019,GH,27.81
2020,GH,28.1
2021,GH,28.3
2022,GH,27.73
