Year,Geography,Count
1901,KM,22.8
1902,KM,23.03
1903,KM,22.89
1904,KM,22.74
1905,KM,22.98
1906,KM,22.74
1907,KM,22.79
1908,KM,23.02
1909,KM,22.84
1910,KM,22.75
1911,KM,22.87
1912,KM,23.02
1913,KM,23.11
1914,KM,23.15
1915,KM,23.17
1916,KM,23.0
1917,KM,22.98
1918,KM,23.06
1919,KM,23.12
1920,KM,23.04
1921,KM,23.04
1922,KM,22.97
1923,KM,23.2
1924,KM,23.12
1925,KM,23.18
1926,KM,23.21
1927,KM,23.05
1928,KM,23.1
1929,KM,23.14
1930,KM,23.01
1931,KM,23.03
1932,KM,22.99
1933,KM,22.97
1934,KM,22.96
1935,KM,22.93
1936,KM,23.02
1937,KM,23.02
1938,KM,23.04
1939,KM,22.99
1940,KM,22.92
1941,KM,23.17
1942,KM,23.14
1943,KM,22.82
1944,KM,23.16
1945,KM,23.07
1946,KM,22.97
1947,KM,23.1
1948,KM,23.35
1949,KM,23.2
1950,KM,23.07
1951,KM,23.21
1952,KM,23.31
1953,KM,23.21
1954,KM,23.09
1955,KM,22.94
1956,KM,22.73
1957,KM,22.91
1958,KM,23.21
1959,KM,23.02
1960,KM,22.9
1961,KM,23.48
1962,KM,22.97
1963,KM,22.79
1964,KM,22.74
1965,KM,22.68
1966,KM,23.28
1967,KM,23.18
1968,KM,22.75
1969,KM,23.35
1970,KM,23.18
1971,KM,22.55
1972,KM,22.84
1973,KM,22.85
1974,KM,22.44
1975,KM,22.61
1976,KM,22.68
1977,KM,23.04
1978,KM,22.92
1979,KM,22.97
1980,KM,22.98
1981,KM,22.78
1982,KM,22.94
1983,KM,23.17
1984,KM,22.53
1985,KM,22.66
1986,KM,22.8
1987,KM,23.34
1988,KM,23.31
1989,KM,22.66
1990,KM,23.12
1991,KM,22.96
1992,KM,23.07
1993,KM,22.98
1994,KM,23.23
1995,KM,23.19
1996,KM,23.0
1997,KM,23.26
1998,KM,23.53
1999,KM,23.1
2000,KM,23.12
2001,KM,23.2
2002,KM,23.2
2003,KM,23.25
2004,KM,23.13
2005,KM,23.43
2006,KM,23.29
2007,KM,23.57
2008,KM,23.16
2009,KM,23.49
2010,KM,23.57
2011,KM,23.4
2012,KM,23.31
2013,KM,23.38
2014,KM,23.41
2015,KM,23.63
2016,KM,23.43
2017,KM,23.66
2018,KM,23.46
2019,KM,23.82
2020,KM,23.76
2021,KM,23.51
2022,KM,23.74
