Year,Geography,Count
1901,UG,22.58
1902,UG,22.67
1903,UG,22.6
1904,UG,22.09
1905,UG,22.17
1906,UG,21.86
1907,UG,21.91
1908,UG,22.5
1909,UG,21.24
1910,UG,21.31
1911,UG,21.71
1912,UG,21.22
1913,UG,21.15
1914,UG,21.54
1915,UG,21.44
1916,UG,21.05
1917,UG,20.61
1918,UG,20.97
1919,UG,21.2
1920,UG,21.17
1921,UG,22.37
1922,UG,22.27
1923,UG,22.19
1924,UG,22.5
1925,UG,22.39
1926,UG,22.7
1927,UG,22.52
1928,UG,22.72
1929,UG,20.81
1930,UG,21.06
1931,UG,21.99
1932,UG,21.64
1933,UG,21.77
1934,UG,21.78
1935,UG,21.8
1936,UG,21.66
1937,UG,21.66
1938,UG,21.87
1939,UG,22.03
1940,UG,22.36
1941,UG,22.47
1942,UG,22.27
1943,UG,22.21
1944,UG,22.29
1945,UG,22.25
1946,UG,22.18
1947,UG,22.06
1948,UG,22.12
1949,UG,22.31
1950,UG,21.78
1951,UG,22.35
1952,UG,22.63
1953,UG,22.66
1954,UG,22.43
1955,UG,22.36
1956,UG,22.09
1957,UG,22.42
1958,UG,22.75
1959,UG,22.52
1960,UG,22.45
1961,UG,22.32
1962,UG,22.11
1963,UG,22.2
1964,UG,22.13
1965,UG,22.26
1966,UG,22.43
1967,UG,22.11
1968,UG,21.82
1969,UG,22.44
1970,UG,22.46
1971,UG,22.1
1972,UG,22.5
1973,UG,22.7
1974,UG,22.27
1975,UG,22.28
1976,UG,22.55
1977,UG,22.57
1978,UG,22.49
1979,UG,22.55
1980,UG,22.71
1981,UG,22.8
1982,UG,22.78
1983,UG,23.04
1984,UG,22.75
1985,UG,22.56
1986,UG,22.76
1987,UG,23.21
1988,UG,22.93
1989,UG,22.33
1990,UG,22.88
1991,UG,22.75
1992,UG,22.71
1993,UG,22.81
1994,UG,22.71
1995,UG,23.09
1996,UG,22.81
1997,UG,22.91
1998,UG,23.01
1999,UG,22.93
2000,UG,23.22
2001,UG,23.38
2002,UG,23.74
2003,UG,23.64
2004,UG,23.64
2005,UG,23.64
2006,UG,23.5
2007,UG,23.56
2008,UG,23.5
2009,UG,24.03
2010,UG,23.81
2011,UG,23.37
2012,UG,22.97
2013,UG,23.14
2014,UG,23.05
2015,UG,23.08
2016,UG,23.38
2017,UG,23.3
2018,UG,23.08
2019,UG,23.33
2020,UG,23.34
2021,UG,23.22
2022,UG,23.14
