Year,Geography,Count
1901,CM,24.15
1902,CM,24.39
1903,CM,24.48
1904,CM,24.29
1905,CM,24.57
1906,CM,24.53
1907,CM,24.56
1908,CM,24.29
1909,CM,24.66
1910,CM,24.21
1911,CM,24.53
1912,CM,24.54
1913,CM,24.29
1914,CM,24.58
1915,CM,24.46
1916,CM,24.47
1917,CM,24.46
1918,CM,24.46
1919,CM,24.46
1920,CM,24.47
1921,CM,24.46
1922,CM,24.46
1923,CM,24.6
1924,CM,24.54
1925,CM,24.35
1926,CM,24.61
1927,CM,24.62
1928,CM,24.45
1929,CM,24.3
1930,CM,24.61
1931,CM,24.79
1932,CM,24.69
1933,CM,24.54
1934,CM,24.64
1935,CM,24.71
1936,CM,24.56
1937,CM,24.63
1938,CM,24.82
1939,CM,24.71
1940,CM,24.47
1941,CM,25.16
1942,CM,24.99
1943,CM,24.52
1944,CM,24.78
1945,CM,24.77
1946,CM,24.74
1947,CM,24.86
1948,CM,24.5
1949,CM,24.81
1950,CM,24.71
1951,CM,24.81
1952,CM,24.78
1953,CM,24.72
1954,CM,24.51
1955,CM,24.43
1956,CM,24.42
1957,CM,24.74
1958,CM,24.87
1959,CM,24.78
1960,CM,24.75
1961,CM,24.44
1962,CM,24.57
1963,CM,24.83
1964,CM,24.48
1965,CM,24.56
1966,CM,24.68
1967,CM,24.35
1968,CM,24.52
1969,CM,24.86
1970,CM,24.77
1971,CM,24.1
1972,CM,24.41
1973,CM,24.69
1974,CM,24.04
1975,CM,24.06
1976,CM,24.0
1977,CM,24.36
1978,CM,24.28
1979,CM,24.64
1980,CM,24.61
1981,CM,24.3
1982,CM,24.34
1983,CM,24.63
1984,CM,24.44
1985,CM,24.38
1986,CM,24.37
1987,CM,24.9
1988,CM,24.63
1989,CM,24.35
1990,CM,24.83
1991,CM,24.58
1992,CM,24.3
1993,CM,24.45
1994,CM,24.44
1995,CM,24.68
1996,CM,24.51
1997,CM,24.64
1998,CM,25.2
1999,CM,24.59
2000,CM,24.57
2001,CM,24.63
2002,CM,24.81
2003,CM,24.86
2004,CM,24.93
2005,CM,24.97
2006,CM,24.88
2007,CM,24.88
2008,CM,24.68
2009,CM,25.0
2010,CM,25.17
2011,CM,24.81
2012,CM,24.77
2013,CM,24.88
2014,CM,24.92
2015,CM,24.95
2016,CM,25.21
2017,CM,24.94
2018,CM,24.94
2019,CM,24.88
2020,CM,25.22
2021,CM,25.21
2022,CM,24.94
