Year,Geography,Count
1901,BF,28.09
1902,BF,28.42
1903,BF,28.71
1904,BF,28.75
1905,BF,28.3
1906,BF,28.62
1907,BF,28.36
1908,BF,28.58
1909,BF,28.52
1910,BF,28.56
1911,BF,28.04
1912,BF,28.63
1913,BF,28.64
1914,BF,28.97
1915,BF,27.85
1916,BF,27.22
1917,BF,27.49
1918,BF,27.28
1919,BF,28.74
1920,BF,28.77
1921,BF,28.74
1922,BF,28.1
1923,BF,28.15
1924,BF,28.62
1925,BF,28.25
1926,BF,28.29
1927,BF,27.56
1928,BF,27.75
1929,BF,27.65
1930,BF,28.23
1931,BF,28.85
1932,BF,28.59
1933,BF,28.55
1934,BF,28.81
1935,BF,29.39
1936,BF,28.7
1937,BF,29.95
1938,BF,30.13
1939,BF,29.5
1940,BF,28.8
1941,BF,29.27
1942,BF,29.11
1943,BF,28.58
1944,BF,29.03
1945,BF,28.67
1946,BF,28.55
1947,BF,29.08
1948,BF,28.44
1949,BF,29.09
1950,BF,28.15
1951,BF,28.77
1952,BF,28.45
1953,BF,28.46
1954,BF,28.36
1955,BF,28.29
1956,BF,28.45
1957,BF,28.39
1958,BF,28.91
1959,BF,28.82
1960,BF,28.52
1961,BF,28.15
1962,BF,28.32
1963,BF,28.7
1964,BF,28.39
1965,BF,28.28
1966,BF,28.63
1967,BF,28.34
1968,BF,28.6
1969,BF,29.19
1970,BF,28.97
1971,BF,28.56
1972,BF,28.71
1973,BF,29.11
1974,BF,28.29
1975,BF,28.16
1976,BF,28.07
1977,BF,28.61
1978,BF,28.64
1979,BF,28.73
1980,BF,29.07
1981,BF,28.89
1982,BF,28.64
1983,BF,29.18
1984,BF,29.16
1985,BF,29.05
1986,BF,28.81
1987,BF,29.6
1988,BF,28.86
1989,BF,28.64
1990,BF,29.15
1991,BF,28.89
1992,BF,28.53
1993,BF,29.05
1994,BF,28.52
1995,BF,28.89
1996,BF,29.13
1997,BF,29.12
1998,BF,29.47
1999,BF,28.92
2000,BF,29.06
2001,BF,29.19
2002,BF,29.47
2003,BF,29.34
2004,BF,29.41
2005,BF,29.64
2006,BF,29.29
2007,BF,29.38
2008,BF,28.89
2009,BF,29.55
2010,BF,29.61
2011,BF,29.5
2012,BF,29.15
2013,BF,29.31
2014,BF,29.43
2015,BF,29.42
2016,BF,29.68
2017,BF,29.52
2018,BF,29.55
2019,BF,29.29
2020,BF,29.63
2021,BF,30.01
2022,BF,29.28
