Year,Geography,Count
1901,EG,22.15
1902,EG,21.76
1903,EG,21.12
1904,EG,21.32
1905,EG,21.72
1906,EG,22.19
1907,EG,21.57
1908,EG,21.81
1909,EG,22.77
1910,EG,21.75
1911,EG,21.71
1912,EG,21.7
1913,EG,21.57
1914,EG,22.21
1915,EG,23.11
1916,EG,23.04
1917,EG,22.5
1918,EG,22.47
1919,EG,22.8
1920,EG,22.0
1921,EG,22.13
1922,EG,22.64
1923,EG,22.55
1924,EG,22.55
1925,EG,22.57
1926,EG,22.36
1927,EG,22.84
1928,EG,23.08
1929,EG,22.48
1930,EG,22.85
1931,EG,22.86
1932,EG,22.78
1933,EG,22.51
1934,EG,22.83
1935,EG,22.88
1936,EG,23.16
1937,EG,23.01
1938,EG,22.37
1939,EG,23.14
1940,EG,22.82
1941,EG,22.89
1942,EG,22.7
1943,EG,22.22
1944,EG,22.33
1945,EG,21.9
1946,EG,22.54
1947,EG,22.87
1948,EG,21.74
1949,EG,21.71
1950,EG,22.2
1951,EG,22.44
1952,EG,22.54
1953,EG,21.98
1954,EG,22.05
1955,EG,22.73
1956,EG,22.32
1957,EG,22.37
1958,EG,22.68
1959,EG,21.68
1960,EG,22.96
1961,EG,21.76
1962,EG,22.92
1963,EG,22.92
1964,EG,21.65
1965,EG,22.05
1966,EG,22.76
1967,EG,21.58
1968,EG,22.4
1969,EG,22.72
1970,EG,22.0
1971,EG,22.01
1972,EG,22.14
1973,EG,22.06
1974,EG,22.19
1975,EG,22.02
1976,EG,22.19
1977,EG,22.08
1978,EG,22.27
1979,EG,22.9
1980,EG,22.43
1981,EG,22.22
1982,EG,21.84
1983,EG,21.6
1984,EG,22.24
1985,EG,22.6
1986,EG,22.43
1987,EG,22.33
1988,EG,22.6
1989,EG,22.35
1990,EG,22.59
1991,EG,22.52
1992,EG,21.91
1993,EG,22.71
1994,EG,22.75
1995,EG,22.68
1996,EG,22.87
1997,EG,22.41
1998,EG,23.17
1999,EG,23.2
2000,EG,22.36
2001,EG,23.15
2002,EG,23.26
2003,EG,23.07
2004,EG,23.01
2005,EG,23.0
2006,EG,23.0
2007,EG,23.13
2008,EG,23.43
2009,EG,23.28
2010,EG,24.57
2011,EG,22.84
2012,EG,23.49
2013,EG,23.4
2014,EG,23.66
2015,EG,23.44
2016,EG,23.82
2017,EG,23.31
2018,EG,24.08
2019,EG,23.38
2020,EG,23.18
2021,EG,23.88
2022,EG,23.23
