Year,Geography,Count
1901,NG,26.63
1902,NG,26.82
1903,NG,26.86
1904,NG,26.81
1905,NG,26.71
1906,NG,27.08
1907,NG,26.86
1908,NG,26.81
1909,NG,26.77
1910,NG,26.87
1911,NG,26.82
1912,NG,26.92
1913,NG,27.06
1914,NG,27.27
1915,NG,26.84
1916,NG,26.82
1917,NG,26.83
1918,NG,26.82
1919,NG,26.85
1920,NG,26.86
1921,NG,26.85
1922,NG,26.84
1923,NG,27.07
1924,NG,26.96
1925,NG,26.29
1926,NG,27.12
1927,NG,27.02
1928,NG,26.67
1929,NG,26.35
1930,NG,27.5
1931,NG,27.79
1932,NG,27.39
1933,NG,27.12
1934,NG,27.43
1935,NG,27.55
1936,NG,27.0
1937,NG,27.62
1938,NG,28.1
1939,NG,27.6
1940,NG,26.87
1941,NG,27.87
1942,NG,27.52
1943,NG,26.96
1944,NG,27.02
1945,NG,26.6
1946,NG,26.76
1947,NG,27.02
1948,NG,26.46
1949,NG,27.09
1950,NG,26.49
1951,NG,26.89
1952,NG,26.71
1953,NG,26.58
1954,NG,26.61
1955,NG,26.48
1956,NG,26.56
1957,NG,26.66
1958,NG,26.95
1959,NG,26.76
1960,NG,26.87
1961,NG,26.28
1962,NG,26.68
1963,NG,27.02
1964,NG,26.66
1965,NG,26.56
1966,NG,26.81
1967,NG,26.55
1968,NG,26.78
1969,NG,27.3
1970,NG,26.91
1971,NG,26.45
1972,NG,26.84
1973,NG,27.19
1974,NG,26.33
1975,NG,26.27
1976,NG,26.43
1977,NG,26.54
1978,NG,26.59
1979,NG,26.88
1980,NG,26.91
1981,NG,26.9
1982,NG,26.99
1983,NG,27.11
1984,NG,27.23
1985,NG,27.01
1986,NG,27.04
1987,NG,27.38
1988,NG,26.86
1989,NG,26.39
1990,NG,27.2
1991,NG,26.96
1992,NG,26.59
1993,NG,26.96
1994,NG,26.75
1995,NG,27.05
1996,NG,27.13
1997,NG,27.14
1998,NG,27.51
1999,NG,27.12
2000,NG,26.92
2001,NG,27.11
2002,NG,27.28
2003,NG,27.38
2004,NG,27.38
2005,NG,27.5
2006,NG,27.47
2007,NG,27.45
2008,NG,27.09
2009,NG,27.75
2010,NG,27.86
2011,NG,27.49
2012,NG,27.3
2013,NG,27.51
2014,NG,27.61
2015,NG,27.38
2016,NG,27.79
2017,NG,27.46
2018,NG,27.41
2019,NG,27.29
2020,NG,27.43
2021,NG,27.67
2022,NG,27.15
