Year,Geography,Count
1901,MA,17.3
1902,MA,17.12
1903,MA,17.08
1904,MA,17.3
1905,MA,16.97
1906,MA,17.05
1907,MA,16.83
1908,MA,17.04
1909,MA,16.92
1910,MA,16.91
1911,MA,16.84
1912,MA,16.88
1913,MA,16.9
1914,MA,16.7
1915,MA,17.0
1916,MA,16.9
1917,MA,16.6
1918,MA,16.76
1919,MA,16.9
1920,MA,17.01
1921,MA,16.98
1922,MA,16.96
1923,MA,17.05
1924,MA,17.46
1925,MA,16.75
1926,MA,17.95
1927,MA,17.38
1928,MA,17.31
1929,MA,17.3
1930,MA,17.58
1931,MA,17.26
1932,MA,16.81
1933,MA,17.31
1934,MA,16.9
1935,MA,17.19
1936,MA,17.09
1937,MA,18.06
1938,MA,17.48
1939,MA,17.11
1940,MA,17.76
1941,MA,17.59
1942,MA,17.66
1943,MA,17.5
1944,MA,17.52
1945,MA,18.25
1946,MA,17.54
1947,MA,17.91
1948,MA,18.07
1949,MA,17.93
1950,MA,17.73
1951,MA,17.23
1952,MA,17.52
1953,MA,17.57
1954,MA,17.15
1955,MA,18.32
1956,MA,16.51
1957,MA,17.06
1958,MA,17.57
1959,MA,17.3
1960,MA,17.41
1961,MA,18.13
1962,MA,17.54
1963,MA,17.19
1964,MA,17.56
1965,MA,17.14
1966,MA,17.35
1967,MA,17.05
1968,MA,17.22
1969,MA,17.13
1970,MA,17.43
1971,MA,16.47
1972,MA,16.44
1973,MA,17.12
1974,MA,17.05
1975,MA,16.99
1976,MA,16.83
1977,MA,17.16
1978,MA,17.45
1979,MA,17.34
1980,MA,17.47
1981,MA,17.71
1982,MA,17.41
1983,MA,17.88
1984,MA,17.25
1985,MA,17.77
1986,MA,17.24
1987,MA,18.08
1988,MA,17.62
1989,MA,18.08
1990,MA,18.01
1991,MA,17.15
1992,MA,17.25
1993,MA,16.99
1994,MA,17.82
1995,MA,18.42
1996,MA,17.7
1997,MA,18.3
1998,MA,18.06
1999,MA,17.78
2000,MA,18.0
2001,MA,18.51
2002,MA,18.19
2003,MA,18.29
2004,MA,17.98
2005,MA,18.08
2006,MA,18.35
2007,MA,17.99
2008,MA,17.94
2009,MA,18.51
2010,MA,18.76
2011,MA,18.36
2012,MA,18.26
2013,MA,18.11
2014,MA,18.48
2015,MA,18.6
2016,MA,18.72
2017,MA,18.94
2018,MA,17.68
2019,MA,18.29
2020,MA,18.57
2021,MA,18.48
2022,MA,19.1
