Year,Geography,Count
1901,GQ,23.94
1902,GQ,24.21
1903,GQ,24.35
1904,GQ,24.05
1905,GQ,24.48
1906,GQ,24.42
1907,GQ,24.47
1908,GQ,24.04
1909,GQ,24.62
1910,GQ,23.95
1911,GQ,24.42
1912,GQ,24.49
1913,GQ,24.04
1914,GQ,24.5
1915,GQ,24.31
1916,GQ,24.32
1917,GQ,24.31
1918,GQ,24.31
1919,GQ,24.31
1920,GQ,24.32
1921,GQ,24.31
1922,GQ,24.31
1923,GQ,24.31
1924,GQ,24.32
1925,GQ,24.31
1926,GQ,24.31
1927,GQ,24.31
1928,GQ,24.31
1929,GQ,24.31
1930,GQ,24.31
1931,GQ,24.32
1932,GQ,24.32
1933,GQ,24.32
1934,GQ,24.31
1935,GQ,24.31
1936,GQ,24.32
1937,GQ,24.31
1938,GQ,24.32
1939,GQ,24.32
1940,GQ,24.32
1941,GQ,24.89
1942,GQ,24.76
1943,GQ,24.15
1944,GQ,24.77
1945,GQ,24.8
1946,GQ,24.54
1947,GQ,24.81
1948,GQ,24.41
1949,GQ,24.82
1950,GQ,24.67
1951,GQ,24.66
1952,GQ,24.55
1953,GQ,24.47
1954,GQ,24.09
1955,GQ,24.24
1956,GQ,24.1
1957,GQ,24.5
1958,GQ,24.38
1959,GQ,24.5
1960,GQ,24.55
1961,GQ,24.3
1962,GQ,24.37
1963,GQ,24.72
1964,GQ,24.34
1965,GQ,24.3
1966,GQ,24.64
1967,GQ,24.39
1968,GQ,24.35
1969,GQ,24.54
1970,GQ,24.51
1971,GQ,24.08
1972,GQ,24.14
1973,GQ,24.49
1974,GQ,24.0
1975,GQ,23.99
1976,GQ,23.78
1977,GQ,24.27
1978,GQ,24.22
1979,GQ,24.5
1980,GQ,24.48
1981,GQ,24.22
1982,GQ,24.06
1983,GQ,24.39
1984,GQ,24.47
1985,GQ,24.17
1986,GQ,24.04
1987,GQ,24.71
1988,GQ,24.44
1989,GQ,24.43
1990,GQ,24.55
1991,GQ,24.37
1992,GQ,24.14
1993,GQ,24.31
1994,GQ,24.29
1995,GQ,24.55
1996,GQ,24.33
1997,GQ,24.3
1998,GQ,25.05
1999,GQ,24.51
2000,GQ,24.47
2001,GQ,24.55
2002,GQ,24.77
2003,GQ,24.77
2004,GQ,24.76
2005,GQ,24.72
2006,GQ,24.76
2007,GQ,24.74
2008,GQ,24.56
2009,GQ,24.7
2010,GQ,24.92
2011,GQ,24.58
2012,GQ,24.64
2013,GQ,24.65
2014,GQ,24.68
2015,GQ,24.87
2016,GQ,25.06
2017,GQ,24.82
2018,GQ,24.94
2019,GQ,24.83
2020,GQ,25.08
2021,GQ,25.08
2022,GQ,24.89
