Year,Geography,Count
1901,CG,24.22
1902,CG,24.32
1903,CG,24.42
1904,CG,24.21
1905,CG,24.48
1906,CG,24.41
1907,CG,24.46
1908,CG,24.18
1909,CG,24.57
1910,CG,24.22
1911,CG,24.48
1912,CG,24.56
1913,CG,24.23
1914,CG,24.49
1915,CG,24.35
1916,CG,24.33
1917,CG,24.36
1918,CG,24.35
1919,CG,24.34
1920,CG,24.35
1921,CG,24.35
1922,CG,24.34
1923,CG,24.33
1924,CG,24.4
1925,CG,24.35
1926,CG,24.36
1927,CG,24.37
1928,CG,24.4
1929,CG,24.32
1930,CG,24.37
1931,CG,24.39
1932,CG,24.31
1933,CG,24.42
1934,CG,24.44
1935,CG,24.38
1936,CG,24.34
1937,CG,24.45
1938,CG,24.38
1939,CG,24.4
1940,CG,24.37
1941,CG,25.0
1942,CG,24.82
1943,CG,24.25
1944,CG,24.84
1945,CG,24.74
1946,CG,24.59
1947,CG,24.88
1948,CG,24.44
1949,CG,24.82
1950,CG,24.57
1951,CG,24.62
1952,CG,24.62
1953,CG,24.55
1954,CG,24.31
1955,CG,24.32
1956,CG,24.34
1957,CG,24.59
1958,CG,24.63
1959,CG,24.59
1960,CG,24.54
1961,CG,24.21
1962,CG,24.39
1963,CG,24.54
1964,CG,24.34
1965,CG,24.42
1966,CG,24.66
1967,CG,24.32
1968,CG,24.41
1969,CG,24.72
1970,CG,24.63
1971,CG,24.16
1972,CG,24.34
1973,CG,24.45
1974,CG,23.88
1975,CG,23.92
1976,CG,23.76
1977,CG,24.2
1978,CG,24.1
1979,CG,24.63
1980,CG,24.42
1981,CG,24.55
1982,CG,24.37
1983,CG,24.78
1984,CG,24.65
1985,CG,24.49
1986,CG,24.51
1987,CG,24.97
1988,CG,24.71
1989,CG,24.5
1990,CG,24.69
1991,CG,24.5
1992,CG,24.2
1993,CG,24.28
1994,CG,24.31
1995,CG,24.58
1996,CG,24.28
1997,CG,24.46
1998,CG,25.15
1999,CG,24.46
2000,CG,24.49
2001,CG,24.68
2002,CG,24.76
2003,CG,24.73
2004,CG,24.83
2005,CG,24.89
2006,CG,24.85
2007,CG,24.78
2008,CG,24.64
2009,CG,24.81
2010,CG,25.09
2011,CG,24.63
2012,CG,24.69
2013,CG,24.81
2014,CG,24.77
2015,CG,24.89
2016,CG,25.23
2017,CG,24.9
2018,CG,25.05
2019,CG,25.0
2020,CG,25.36
2021,CG,25.23
2022,CG,25.05
