Year,Geography,Count
1901,SN,28.27
1902,SN,28.63
1903,SN,28.36
1904,SN,28.13
1905,SN,28.31
1906,SN,28.41
1907,SN,27.66
1908,SN,28.55
1909,SN,28.26
1910,SN,28.47
1911,SN,28.24
1912,SN,28.54
1913,SN,28.5
1914,SN,28.2
1915,SN,28.64
1916,SN,28.14
1917,SN,28.03
1918,SN,28.32
1919,SN,28.72
1920,SN,28.0
1921,SN,28.02
1922,SN,27.7
1923,SN,28.28
1924,SN,27.98
1925,SN,28.09
1926,SN,28.5
1927,SN,28.09
1928,SN,27.79
1929,SN,27.68
1930,SN,27.63
1931,SN,28.27
1932,SN,28.16
1933,SN,28.22
1934,SN,28.12
1935,SN,28.16
1936,SN,28.36
1937,SN,28.51
1938,SN,28.47
1939,SN,28.27
1940,SN,28.19
1941,SN,28.48
1942,SN,28.15
1943,SN,28.08
1944,SN,28.56
1945,SN,28.83
1946,SN,28.3
1947,SN,28.4
1948,SN,28.21
1949,SN,28.32
1950,SN,28.11
1951,SN,27.85
1952,SN,27.58
1953,SN,27.84
1954,SN,27.83
1955,SN,27.97
1956,SN,27.69
1957,SN,27.75
1958,SN,28.27
1959,SN,27.98
1960,SN,28.1
1961,SN,28.24
1962,SN,28.25
1963,SN,28.36
1964,SN,28.14
1965,SN,27.73
1966,SN,28.24
1967,SN,27.56
1968,SN,27.98
1969,SN,28.88
1970,SN,28.68
1971,SN,27.75
1972,SN,28.15
1973,SN,28.38
1974,SN,27.48
1975,SN,27.67
1976,SN,27.59
1977,SN,28.4
1978,SN,28.11
1979,SN,28.54
1980,SN,28.43
1981,SN,28.42
1982,SN,27.91
1983,SN,28.94
1984,SN,28.3
1985,SN,28.16
1986,SN,27.97
1987,SN,28.76
1988,SN,28.3
1989,SN,28.19
1990,SN,28.72
1991,SN,28.54
1992,SN,28.45
1993,SN,28.65
1994,SN,28.2
1995,SN,28.47
1996,SN,28.86
1997,SN,28.96
1998,SN,29.4
1999,SN,28.33
2000,SN,28.59
2001,SN,29.03
2002,SN,29.02
2003,SN,28.94
2004,SN,29.02
2005,SN,29.17
2006,SN,28.93
2007,SN,28.95
2008,SN,28.96
2009,SN,28.63
2010,SN,29.43
2011,SN,28.9
2012,SN,28.81
2013,SN,28.99
2014,SN,28.9
2015,SN,29.14
2016,SN,29.33
2017,SN,29.34
2018,SN,28.82
2019,SN,28.82
2020,SN,29.55
2021,SN,29.62
2022,SN,29.0
